time,bias,s_bias,mse,s_mse,eva,s_eva,va,s_va,rho_tau,r2,s_r2,rho2_trait
0.000000000000000000e+00,1.160244000000002617e-06,1.181416378760042305e-05,1.181416466120001151e-05,1.164767177578987441e-05,9.910470057200022713e-04,3.329970772593885265e-04,1.001159393759999813e-03,3.330290762773687927e-04,9.881569400145742144e-01,4.865886491672948844e-01,9.198163043895712238e-03,5.047076104176716482e-01
1.000000000000000000e+02,3.909319999999986992e-07,6.060524352138190618e-05,6.060524124999999820e-05,6.764513302791955185e-05,9.356592638800031699e-04,3.271528819985728516e-04,9.933186467399983399e-04,3.300899518192197853e-04,9.419760375573182909e-01,4.610934059665287577e-01,1.011131045287581333e-02,4.788173048688215139e-01
2.000000000000000000e+02,-1.257604000000001842e-06,1.153662808158838042e-04,1.153662777828003898e-04,1.521193938695306980e-04,8.938854519200013912e-04,3.228908463188921848e-04,9.969302552999988448e-04,3.320634335158882894e-04,8.961152529180534954e-01,4.404525492583623580e-01,1.064344771463699574e-02,4.574104262594272940e-01
3.000000000000000000e+02,-4.046599999999726552e-07,1.706807584966805427e-04,1.706807518331999302e-04,2.443570203118651508e-04,8.542952302799986615e-04,3.151158475878799081e-04,1.001749027500000236e-03,3.327670357757698053e-04,8.538031814181867851e-01,4.200169359143147707e-01,1.082032586758688124e-02,4.364996852851517617e-01
4.000000000000000000e+02,-2.461743999999997483e-06,2.290483542745508643e-04,2.290483511728002371e-04,3.516895026652413266e-04,8.074254427200001612e-04,3.036753382024672205e-04,9.963218774399985791e-04,3.313366324839751875e-04,8.102615215887778444e-01,3.976460742669429282e-01,1.089810198168368084e-02,4.125257711462430588e-01
5.000000000000000000e+02,-3.091459999999992929e-06,2.975775212503758028e-04,2.975775189043999044e-04,4.882103645915581054e-04,7.687805032399987670e-04,2.931449999602418993e-04,9.951043420000002786e-04,3.309761105863949374e-04,7.683321042008666168e-01,3.779786517804571977e-01,1.130449883686114078e-02,3.920726480866131847e-01
6.000000000000000000e+02,-3.432723999999998307e-06,3.457916766164720757e-04,3.457916745683991015e-04,5.968846492529930560e-04,7.291753051999998051e-04,2.807490053547339139e-04,9.936188927799972145e-04,3.302373420967198107e-04,7.374617982831606078e-01,3.613976799580159160e-01,1.152416052896064642e-02,3.750307754708837593e-01
7.000000000000000000e+02,4.365543999999994400e-06,4.147398381636194166e-04,4.147398406320003308e-04,7.564422152451179184e-04,6.937330919800010695e-04,2.692897796513004727e-04,9.942493409199970947e-04,3.301806010323513432e-04,6.989600358481580233e-01,3.421349454824613168e-01,1.134383115327079056e-02,3.544694519104333308e-01
8.000000000000000000e+02,-8.819911999999989358e-06,4.814007143147810367e-04,4.814007728496002268e-04,9.136584549709737910e-04,6.636759779800002236e-04,2.588077445959272374e-04,9.991788277999974748e-04,3.317452337391988294e-04,6.656989105116069005e-01,3.289929338060369468e-01,1.186571535640374223e-02,3.406591321036331332e-01
9.000000000000000000e+02,-4.655960000000037941e-07,5.411266145710849499e-04,5.411265931428000222e-04,1.071938268289343143e-03,6.335497773600004415e-04,2.488868363583703384e-04,9.982690238400000488e-04,3.325707558714195147e-04,6.338724964956684582e-01,3.131570320164247523e-01,1.148143219462152177e-02,3.238184569655891409e-01
1.000000000000000000e+03,1.100779999999996388e-06,6.221813129751364467e-04,6.221812892996005226e-04,1.291043726394089592e-03,6.034970428399995994e-04,2.379450850871258076e-04,1.004374327740000222e-03,3.341186982936052868e-04,6.029220927771404837e-01,2.969422025617171612e-01,1.122754141641418846e-02,3.068748103601550148e-01
1.100000000000000000e+03,-2.038280000000014729e-06,6.918463811592690535e-04,6.918463576399991885e-04,1.483873860580806406e-03,5.707260232200010329e-04,2.251856711178011497e-04,9.973193864800018477e-04,3.316963659192648088e-04,5.731898491246024685e-01,2.814014782504860590e-01,1.149329705611731693e-02,2.904325508132888367e-01
1.200000000000000000e+03,9.113564000000005228e-06,7.695261370003965732e-04,7.695261892763998694e-04,1.709209434013923921e-03,5.445790589200006108e-04,2.154851063914325709e-04,1.000618569899999364e-03,3.326040666787232684e-04,5.459507395302414245e-01,2.707368477666079465e-01,1.123541725004402816e-02,2.785838860393483052e-01
1.300000000000000000e+03,-6.265883999999990676e-06,8.345088354402528663e-04,8.345088413212018059e-04,1.901406983721894324e-03,5.188001074399999643e-04,2.059765086861321652e-04,9.999437878800013571e-04,3.324145352573974386e-04,5.182307429759932527e-01,2.584482913392983083e-01,1.123018598527207243e-02,2.658761607776237157e-01
1.400000000000000000e+03,-2.802812000000002532e-06,9.317412531558961304e-04,9.317412237420011996e-04,2.197102731929662968e-03,4.957967030800006399e-04,1.970391080479704817e-04,1.004289704260000367e-03,3.347912207474532760e-04,4.922692543347140237e-01,2.447437582441221726e-01,1.100803054256110393e-02,2.511590957244464462e-01
1.500000000000000000e+03,-1.246267999999999576e-06,9.793063741410702218e-04,9.793063365219993859e-04,2.348772314870452901e-03,4.689108466399990018e-04,1.861116310069153737e-04,9.948907172599990179e-04,3.305298953332976063e-04,4.656228581816325152e-01,2.336889484966263864e-01,1.066926237341305449e-02,2.393294620513795601e-01
1.600000000000000000e+03,4.139840000000096976e-07,1.040540025487817757e-03,1.040539984037599499e-03,2.512592147576771240e-03,4.458819510400012769e-04,1.771306750921327017e-04,9.935236943600020670e-04,3.299522435265829609e-04,4.507039915630144944e-01,2.229638168309361068e-01,1.035991363987075718e-02,2.277353814740529780e-01
1.700000000000000000e+03,6.596780000000003779e-06,1.142424706843080768e-03,1.142424704663598913e-03,2.847984320840895971e-03,4.221920630200002959e-04,1.680615100909310308e-04,9.939187738399999934e-04,3.296813350554665158e-04,4.244626986209696362e-01,2.109690810250471338e-01,1.021746666994173720e-02,2.150551891520706138e-01
1.800000000000000000e+03,5.252960000000003913e-07,1.221936447532719723e-03,1.221936398931197827e-03,3.110663103332734353e-03,4.064694298800000465e-04,1.617829100086023173e-04,9.998232349200011481e-04,3.324665828061734501e-04,4.051061375778560181e-01,2.039884219876834937e-01,9.886335903204850756e-03,2.078223773952516673e-01
1.900000000000000000e+03,8.073120000000010552e-07,1.294143208524376788e-03,1.294143157410401323e-03,3.334364980136732444e-03,3.831378786200001344e-04,1.525125161125518315e-04,9.987872950400003558e-04,3.319518063110321365e-04,3.871923319143723008e-01,1.939809875003253026e-01,9.842860744115059651e-03,1.967479869436407625e-01
2.000000000000000000e+03,-6.600607999999974768e-06,1.366699601871959905e-03,1.366699590772001930e-03,3.577555136234867195e-03,3.688685854400004663e-04,1.471952292483975574e-04,9.946195027400010769e-04,3.304958469905378048e-04,3.670307137993396029e-01,1.868108276641805010e-01,9.460865257221576230e-03,1.887976461748574752e-01
