time,bias,s_bias,mse,s_mse,eva,s_eva,va,s_va,rho_tau,r2,s_r2,rho2_trait
0.000000000000000000e+00,-1.196840400000000355e-06,9.315301076973117692e-06,9.315302136788017310e-06,9.170058802864413151e-06,9.911194165400025180e-04,3.329980956929470414e-04,1.001159393759999813e-03,3.330290762773687927e-04,9.907037565609994045e-01,9.891918627049565149e-01,5.055602571188912191e-05,1.010060710679006046e+00
1.000000000000000000e+02,4.050375999999985791e-07,5.867659008396815067e-05,5.867658790096000901e-05,6.810038741829309978e-05,9.358130157400025833e-04,3.271742032935372321e-04,9.933186467399983399e-04,3.300899518192197853e-04,9.440502720829722083e-01,9.381356929916356835e-01,1.192837802793617367e-03,9.614503267141309983e-01
2.000000000000000000e+02,-3.713696000000004669e-06,1.113131046066182856e-04,1.113131139456320873e-04,1.403682021495301696e-04,8.938068094200006704e-04,3.228796638140428877e-04,9.969302552999988448e-04,3.320634335158882894e-04,8.992818782109118780e-01,8.904705693291838919e-01,3.324139694854844063e-03,9.150125121180742171e-01
3.000000000000000000e+02,2.277996800000005376e-06,1.707132521964125065e-04,1.707132505571518663e-04,2.371895313558917224e-04,8.542756287199987407e-04,3.151081067823614150e-04,1.001749027500000236e-03,3.327670357757698053e-04,8.539389120264723188e-01,8.455166630090760194e-01,5.676230011936973970e-03,8.706097256627846059e-01
4.000000000000000000e+02,-1.652961199999998053e-06,2.299057150058558753e-04,2.299057085419080359e-04,3.462020990065212329e-04,8.076006328400003528e-04,3.037301117584015179e-04,9.963218774399985791e-04,3.313366324839751875e-04,8.106587849897506359e-01,8.017421090601676292e-01,8.428308282701043805e-03,8.265784591487523869e-01
5.000000000000000000e+02,5.942891999999995430e-07,2.846253766655511730e-04,2.846253656337157886e-04,4.633065312119711383e-04,7.689119377999991669e-04,2.931942525447644369e-04,9.951043420000002786e-04,3.309761105863949374e-04,7.728585814991575376e-01,7.637505166200038165e-01,1.054939047580334861e-02,7.883684144642613134e-01
6.000000000000000000e+02,-1.120417199999996854e-06,3.470749014702491472e-04,3.470748888425878066e-04,6.039447094973451283e-04,7.293284897000003927e-04,2.808071421576483341e-04,9.936188927799972145e-04,3.302373420967198107e-04,7.363942643177172620e-01,7.252657775000843632e-01,1.248079951808596724e-02,7.491393171779494597e-01
7.000000000000000000e+02,2.422851200000006914e-06,4.206273642941821917e-04,4.206273533392955628e-04,7.786727072833466920e-04,6.936169405200008371e-04,2.692415729614087657e-04,9.942493409199970947e-04,3.301806010323513432e-04,6.977719616611076647e-01,6.887075805271360984e-01,1.440058461563721234e-02,7.118887807274578705e-01
8.000000000000000000e+02,-6.097580399999997372e-06,4.920534676470783965e-04,4.920534851454265446e-04,9.531820301744239497e-04,6.636522040600004863e-04,2.587844874305608874e-04,9.991788277999974748e-04,3.317452337391988294e-04,6.608427925009240367e-01,6.541177798244245389e-01,1.667486608359760800e-02,6.771379780545572213e-01
9.000000000000000000e+02,9.384780799999988289e-06,5.401859299514632671e-04,5.401859964181366866e-04,1.086269704471190534e-03,6.334639918800003509e-04,2.488640439676848069e-04,9.982690238400000488e-04,3.325707558714195147e-04,6.353836673489575704e-01,6.267201211286798079e-01,1.752757008694796198e-02,6.476119237373666460e-01
1.000000000000000000e+03,-2.432683199999989899e-06,6.230139500610587478e-04,6.230139310584483902e-04,1.291777907675651683e-03,6.037112116399996273e-04,2.380311278431423343e-04,1.004374327740000222e-03,3.341186982936052868e-04,6.040304285294197939e-01,5.924532086881065807e-01,1.977776001084935453e-02,6.137573018635246180e-01
1.100000000000000000e+03,-2.441205600000002548e-06,6.898507858707304602e-04,6.898507642361838754e-04,1.468407781149965808e-03,5.707766670000010735e-04,2.252095059048392931e-04,9.973193864800018477e-04,3.316963659192648088e-04,5.746175769193412330e-01,5.647670634188248773e-01,2.001160978835156076e-02,5.838350978764057508e-01
1.200000000000000000e+03,5.685033599999999691e-06,7.604104079893276441e-04,7.604104098925184652e-04,1.666049460807739581e-03,5.445694796200006805e-04,2.154854990251978066e-04,1.000618569899999364e-03,3.326040666787232684e-04,5.471916594413949175e-01,5.383534588448223301e-01,2.083420467115434591e-02,5.562505917324390703e-01
1.300000000000000000e+03,-1.226761720000001589e-05,8.421784155820618862e-04,8.421785323893571677e-04,1.926311297295807759e-03,5.187400911399999088e-04,2.059570402182470204e-04,9.999437878800013571e-04,3.324145352573974386e-04,5.218789363496352252e-01,5.100174430428027206e-01,2.209205138707106761e-02,5.279883791516227776e-01
1.400000000000000000e+03,-3.418873599999997827e-06,9.237822705244407928e-04,9.237822452618466929e-04,2.157486233894784743e-03,4.958561212000004792e-04,1.970645880877953352e-04,1.004289704260000367e-03,3.347912207474532760e-04,4.898193499234862469e-01,4.885609234016237701e-01,2.206196627400594870e-02,5.046051243354244820e-01
1.500000000000000000e+03,5.264503200000008383e-06,9.859427184150109259e-04,9.859427066922961131e-04,2.373119463681887080e-03,4.689636879199989353e-04,1.861257178806735915e-04,9.948907172599990179e-04,3.305298953332976063e-04,4.678812689762690269e-01,4.659352859553771986e-01,2.235993307517485443e-02,4.814441951265797659e-01
1.600000000000000000e+03,1.650870799999995238e-06,1.035390902110608618e-03,1.035390863420346903e-03,2.520399942706782852e-03,4.460055495400012558e-04,1.771838824124142165e-04,9.935236943600020670e-04,3.299522435265829609e-04,4.519222161815142913e-01,4.451175738760549949e-01,2.297812042455506243e-02,4.605254647578698735e-01
1.700000000000000000e+03,1.769581000000002870e-05,1.130784376180095883e-03,1.130784644090412428e-03,2.807092039643050742e-03,4.221846479000002875e-04,1.680546499169256703e-04,9.939187738399999934e-04,3.296813350554665158e-04,4.261214237972714702e-01,4.196566290830581747e-01,2.338637768173904702e-02,4.332956018358859462e-01
1.800000000000000000e+03,-7.079762800000003508e-06,1.208735131310471021e-03,1.208735133084107164e-03,3.060014408889911303e-03,4.063808775600000591e-04,1.617357211216747528e-04,9.998232349200011481e-04,3.324665828061734501e-04,4.078253958848739869e-01,4.028041473202845224e-01,2.255976748018911904e-02,4.154924104807283802e-01
